,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1559858493015859201,1559858493015859201,1660734220000.0,2022-08-17 11:03:40,+0000,,Treatment options for lasting Covid symptoms are limited. But new research may have uncovered a promising treatment: hyperbaric oxygen therapy.  Via @WIREDUK  https://t.co/6hPYneZrv0,en,[],[],1344951,1344951,WIRED,WIRED,3,11,https://twitter.com/WIRED/status/1559858493015859201,['https://wired.trib.al/Crfpcpf'],[],0,,False,22,1,8,,None,,,,,,,[],,,,
1,1559850299183042560,1559850299183042560,1660732266000.0,2022-08-17 10:31:06,+0000,,"If you don't own all the proprietary software that makes your car operate the way it's supposed to, do you really ""own"" your car?  https://t.co/Zu2ovBtvdA",en,[],[],1344951,1344951,WIRED,WIRED,3,10,https://twitter.com/WIRED/status/1559850299183042560,['https://wired.trib.al/Og9rWy0'],[],0,,False,53,4,19,,None,,,,,,,[],,,,
2,1559842735854583808,1559842735854583808,1660730463000.0,2022-08-17 10:01:03,+0000,,"WIRED If you're into making pints of frozen treats at home, this does a nice job.   TIRED It's a fairly shameless (and much cheaper) knockoff of a Pacojet—a machine often used in restaurants for making unique frozen desserts.   https://t.co/yV46N2yc6Z",en,[],[],1344951,1344951,WIRED,WIRED,3,10,https://twitter.com/WIRED/status/1559842735854583808,['https://wired.trib.al/nyaBGCW'],[],0,,False,11,0,1,,None,,,,,,,[],,,,
3,1559837201675976704,1559837201675976704,1660729143000.0,2022-08-17 09:39:03,+0000,,We all wanted more Star Wars. Now we’re getting it. And then some.  https://t.co/Kq3GFKGUVj,en,[],[],1344951,1344951,WIRED,WIRED,3,09,https://twitter.com/WIRED/status/1559837201675976704,['https://wired.trib.al/Hgg90gM'],[],0,,False,16,6,3,,None,,,,,,,[],,,,
4,1559831872523436033,1559831872523436033,1660727873000.0,2022-08-17 09:17:53,+0000,,"The discovery that short peptides can form spontaneously on cosmic dust hints at more of a role for them in the origin of life, on Earth or elsewhere.   https://t.co/Vcv64xNoQm",en,[],[],1344951,1344951,WIRED,WIRED,3,09,https://twitter.com/WIRED/status/1559831872523436033,['https://wired.trib.al/danYlcr'],[],0,,False,26,3,15,,None,,,,,,,[],,,,
5,1559831737840148484,1559831737840148484,1660727841000.0,2022-08-17 09:17:21,+0000,,Keep your camping cool with one of these.  https://t.co/vP9ECw8xom,en,[],[],1344951,1344951,WIRED,WIRED,3,09,https://twitter.com/WIRED/status/1559831737840148484,['https://wired.trib.al/t32mIeo'],[],0,,False,11,1,1,,None,,,,,,,[],,,,
6,1559812801236959234,1559812801236959234,1660723326000.0,2022-08-17 08:02:06,+0000,,Seems like only yesterday they were just starting to Tok. . .   🎨: Andrew Hamm  https://t.co/KdhFGMAQqI,en,[],[],1344951,1344951,WIRED,WIRED,3,08,https://twitter.com/WIRED/status/1559812801236959234,[],['https://pbs.twimg.com/media/FaWReeWWIAgVyFx.jpg'],1,https://pbs.twimg.com/media/FaWReeWWIAgVyFx.jpg,False,75,0,23,,None,,,,,,,[],,,,
7,1559797381704699904,1559797381704699904,1660719650000.0,2022-08-17 07:00:50,+0000,,It was funny when a legal team's blunder brought the real InfoWars to Alex Jones' doorstep. Considerably less funny is the fact that something similar could happen to you.  https://t.co/etlrgDQOSR,en,[],[],1344951,1344951,WIRED,WIRED,3,07,https://twitter.com/WIRED/status/1559797381704699904,['https://wired.trib.al/asvyzOd'],[],0,,False,29,4,2,,None,,,,,,,[],,,,
8,1559782073493180416,1559782073493180416,1660716000000.0,2022-08-17 06:00:00,+0000,,And you may ask yourself...how did this shipping container get here? And you may ask yourself...where did it come from?  https://t.co/NvQ3rBrOJK,en,[],[],1344951,1344951,WIRED,WIRED,3,06,https://twitter.com/WIRED/status/1559782073493180416,[],[],1,https://pbs.twimg.com/media/FG18rHwVUAArfRP.jpg,False,51,2,20,,None,,,,,,,[],,,,
9,1559780366214463488,1559780366214463488,1660715593000.0,2022-08-17 05:53:13,+0000,,Check out our roundup of the best smartwatches we've tested.  https://t.co/n7biPtX19Q,en,[],[],1344951,1344951,WIRED,WIRED,3,05,https://twitter.com/WIRED/status/1559780366214463488,['https://wired.trib.al/ab0lzTp'],[],0,,False,10,1,1,,None,,,,,,,[],,,,
10,1559763971649015813,1559763971649015813,1660711684000.0,2022-08-17 04:48:04,+0000,,Find out what happens to a loved one's account after they pass—and how their digital afterlife affect the ones who survive them.  https://t.co/sULsJ12gMU (From 2021),en,[],[],1344951,1344951,WIRED,WIRED,3,04,https://twitter.com/WIRED/status/1559763971649015813,['https://wired.trib.al/CIsxrP0'],[],0,,False,26,1,7,,None,,,,,,,[],,,,
11,1559747233620365315,1559747233620365315,1660707693000.0,2022-08-17 03:41:33,+0000,,Local evidence of the cataclysm has literally washed away over the years. But trees don’t forget. (From 2021)  https://t.co/AJClICFbf7,en,[],[],1344951,1344951,WIRED,WIRED,3,03,https://twitter.com/WIRED/status/1559747233620365315,['https://wired.trib.al/dbben86'],[],0,,False,34,0,14,,None,,,,,,,[],,,,
12,1559734149178687493,1559734149178687493,1660704574000.0,2022-08-17 02:49:34,+0000,,"In the best-case scenario, the stripped-down smartphone offers neither an escape from reality nor a refusal of its conditions, but a portal into new opportunities for defining one’s relationship to public life—while still being able to call an Uber.  https://t.co/3MyP2P2RiH",en,[],[],1344951,1344951,WIRED,WIRED,3,02,https://twitter.com/WIRED/status/1559734149178687493,['https://wired.trib.al/G81gdxn'],[],0,,False,20,1,6,,None,,,,,,,[],,,,
13,1559721675125444611,1559721675125444611,1660701600000.0,2022-08-17 02:00:00,+0000,,Where does @ericnamofficial shop? Does Eric have tattoos? What's his kimchi recipe? When did he start making music? Eric answers all these questions and much more:  https://t.co/2eV3r827I3,en,[],[],1344951,1344951,WIRED,WIRED,3,02,https://twitter.com/WIRED/status/1559721675125444611,[],[],1,https://pbs.twimg.com/media/FIj_jXEVEAQUq2q.jpg,False,8,1,4,,None,,,,,,,[],,,,
